Date,Home Team,Away Team,dSRS,Away Team Win Probability
,OKC,NOP,-9.561992422671054,0.14649020096837723
,ATL,OKC,-0.6231997211010345,0.5063396741777523
,BRK,WAS,9.148662728807151,0.8786526484442959
,CHI,POR,0.9085875334998741,0.5821772139025818
,DAL,CHA,4.836579881079625,0.7534905182683099
,GSW,IND,-7.938685789382422,0.19189600723044234
,HOU,BOS,-3.3680183665906425,0.37200996117823576
,LAL,UTA,12.386027451702924,0.9325920873439403
,MIL,SAS,9.71843400486556,0.8902880532944574
,NOP,MEM,0.6158591277245176,0.5678714171870082
,PHI,DEN,7.637787513673443,0.8425808332679963
,TOR,CLE,2.752651437779604,0.6683053332580813
,DET,CHI,-2.189929895146478,0.42849700408696345
,MEM,PHI,-6.631576455028752,0.23571536338974167
,MIA,NYK,-8.296114877103465,0.18105397670338363
,MIN,SAS,10.947766771543279,0.9121002826767293
,UTA,PHX,-9.494584118052266,0.14818387032024247
,WAS,ORL,-5.575087250789587,0.27587474323468186
,ATL,MIA,-0.12010668804381375,0.5314530782669062
,BRK,DEN,3.8744836729700167,0.7160387976143653
,CHA,DET,-4.858056808735283,0.3054217196139014
,DAL,SAC,-5.929621223170437,0.2619371788933756
,HOU,LAL,-14.012686445190498,0.06583279715779024
,LAC,GSW,4.279424437826007,0.7322140432690651
,MIL,POR,2.793188178156739,0.670100057231055
,NYK,CLE,9.540240946662522,0.8867583209064431
,ORL,BOS,4.760970881426022,0.7506710023470471
,PHX,IND,7.231856211836697,0.8315106049836162
,CHI,SAS,7.833833360208696,0.8477118943365156
,MEM,POR,3.7872332786196314,0.7124773855017063
,NOP,PHI,-6.015717327304235,0.2586219261877679
,TOR,MIN,-8.175988625998032,0.1846436169424386
,UTA,GSW,5.675957883166852,0.783332201688735
,WAS,DEN,-5.274179055837134,0.288057751340563
,BOS,TOR,2.4744272146649484,0.6558569851542538
,CHA,ORL,-9.221329585309281,0.15521565397693618
