date,date_start_time_et,away_team,away_pts,home_team,home_pts,box_score,OT,Notes
Thu Nov 9 2017,7:00 pm,Los Angeles Lakers,,Washington Wizards,,,,
Fri Nov 10 2017,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Fri Nov 10 2017,8:00 pm,Indiana Pacers,,Chicago Bulls,,,,
Fri Nov 10 2017,7:00 pm,Atlanta Hawks,,Detroit Pistons,,,,
Fri Nov 10 2017,9:00 pm,Los Angeles Clippers,,Oklahoma City Thunder,,,,
Fri Nov 10 2017,9:00 pm,Orlando Magic,,Phoenix Suns,,,,
Fri Nov 10 2017,10:00 pm,Brooklyn Nets,,Portland Trail Blazers,,,,
Fri Nov 10 2017,9:00 pm,Milwaukee Bucks,,San Antonio Spurs,,,,
Fri Nov 10 2017,9:00 pm,Miami Heat,,Utah Jazz,,,,
Sat Nov 11 2017,8:30 pm,Cleveland Cavaliers,,Dallas Mavericks,,,,
Sat Nov 11 2017,9:00 pm,Orlando Magic,,Denver Nuggets,,,,
Sat Nov 11 2017,8:30 pm,Philadelphia 76ers,,Golden State Warriors,,,,
Sat Nov 11 2017,8:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Sat Nov 11 2017,8:30 pm,Los Angeles Lakers,,Milwaukee Bucks,,,,
Sat Nov 11 2017,7:00 pm,Los Angeles Clippers,,New Orleans Pelicans,,,,
Sat Nov 11 2017,8:00 pm,Sacramento Kings,,New York Knicks,,,,
Sat Nov 11 2017,9:00 pm,Minnesota Timberwolves,,Phoenix Suns,,,,
Sat Nov 11 2017,8:30 pm,Chicago Bulls,,San Antonio Spurs,,,,
Sat Nov 11 2017,9:00 pm,Brooklyn Nets,,Utah Jazz,,,,
Sat Nov 11 2017,7:00 pm,Atlanta Hawks,,Washington Wizards,,,,
Sun Nov 12 2017,3:30 pm,Toronto Raptors,,Boston Celtics,,,,
Sun Nov 12 2017,4:00 pm,Miami Heat,,Detroit Pistons,,,,
Sun Nov 12 2017,6:00 pm,Houston Rockets,,Indiana Pacers,,,,
Sun Nov 12 2017,7:00 pm,Dallas Mavericks,,Oklahoma City Thunder,,,,
Mon Nov 13 2017,10:30 pm,Orlando Magic,,Golden State Warriors,,,,
Mon Nov 13 2017,10:30 pm,Philadelphia 76ers,,Los Angeles Clippers,,,,
Mon Nov 13 2017,8:00 pm,Memphis Grizzlies,,Milwaukee Bucks,,,,
Mon Nov 13 2017,8:00 pm,Atlanta Hawks,,New Orleans Pelicans,,,,
Mon Nov 13 2017,7:30 pm,Cleveland Cavaliers,,New York Knicks,,,,
Mon Nov 13 2017,9:00 pm,Los Angeles Lakers,,Phoenix Suns,,,,
Mon Nov 13 2017,10:00 pm,Denver Nuggets,,Portland Trail Blazers,,,,
Mon Nov 13 2017,9:00 pm,Minnesota Timberwolves,,Utah Jazz,,,,
Mon Nov 13 2017,7:00 pm,Sacramento Kings,,Washington Wizards,,,,
Tue Nov 14 2017,7:30 pm,Boston Celtics,,Brooklyn Nets,,,,
Tue Nov 14 2017,8:30 pm,San Antonio Spurs,,Dallas Mavericks,,,,
Tue Nov 14 2017,8:00 pm,Toronto Raptors,,Houston Rockets,,,,
Wed Nov 15 2017,7:30 pm,Sacramento Kings,,Atlanta Hawks,,,,
Wed Nov 15 2017,8:00 pm,Cleveland Cavaliers,,Charlotte Hornets,,,,
Wed Nov 15 2017,10:30 pm,Philadelphia 76ers,,Los Angeles Lakers,,,,
Wed Nov 15 2017,8:00 pm,Indiana Pacers,,Memphis Grizzlies,,,,
Wed Nov 15 2017,7:30 pm,Washington Wizards,,Miami Heat,,,,
Wed Nov 15 2017,8:00 pm,Detroit Pistons,,Milwaukee Bucks,,,,
Wed Nov 15 2017,8:00 pm,San Antonio Spurs,,Minnesota Timberwolves,,,,
Wed Nov 15 2017,8:00 pm,Toronto Raptors,,New Orleans Pelicans,,,,
Wed Nov 15 2017,7:30 pm,Utah Jazz,,New York Knicks,,,,
Wed Nov 15 2017,8:00 pm,Chicago Bulls,,Oklahoma City Thunder,,,,
Wed Nov 15 2017,10:00 pm,Orlando Magic,,Portland Trail Blazers,,,,
Thu Nov 16 2017,8:00 pm,Golden State Warriors,,Boston Celtics,,,,
Thu Nov 16 2017,10:30 pm,Houston Rockets,,Phoenix Suns,,,,
Fri Nov 17 2017,7:30 pm,Utah Jazz,,Brooklyn Nets,,,,
Fri Nov 17 2017,8:00 pm,Charlotte Hornets,,Chicago Bulls,,,,
Fri Nov 17 2017,7:30 pm,Los Angeles Clippers,,Cleveland Cavaliers,,,,
Fri Nov 17 2017,8:30 pm,Minnesota Timberwolves,,Dallas Mavericks,,,,
Fri Nov 17 2017,10:30 pm,New Orleans Pelicans,,Denver Nuggets,,,,
Fri Nov 17 2017,7:00 pm,Detroit Pistons,,Indiana Pacers,,,,
Fri Nov 17 2017,10:30 pm,Phoenix Suns,,Los Angeles Lakers,,,,
Fri Nov 17 2017,10:00 pm,Portland Trail Blazers,,Sacramento Kings,,,,
Fri Nov 17 2017,8:00 pm,Oklahoma City Thunder,,San Antonio Spurs,,,,
Fri Nov 17 2017,7:30 pm,New York Knicks,,Toronto Raptors,,,,
Fri Nov 17 2017,7:00 pm,Miami Heat,,Washington Wizards,,,,
Sat Nov 18 2017,7:30 pm,Boston Celtics,,Atlanta Hawks,,,,
